Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 62.4, 39.2, 25.0, 23.6, 20.1
10, 114.0, 54.8, 24.9, 15.6, 18.9
15, 306.2, 89.1, 1265.9, 1504.0, 1756.9
20, 411.1, 109.3, 1601.0, 1992.2, 2420.4
25, 518.8, 164.1, 1985.0, 2374.0, 3000.2
30, 811.0, 162.6, 2459.7, 2726.7, 3609.6
35, 1032.9, 179.7, 2693.6, 2975.3, 3852.3
40, 998.5, 193.7, 2857.2, 3189.6, 3948.8
45, 1181.5, 227.9, 3058.3, 3517.3, 4190.5
50, 1034.4, 265.6, 3492.9, 3745.6, 4868.9
55, 1512.4, 296.4, 3715.3, 4175.2, 5206.5
60, 1559.8, 348.4, 3938.4, 4473.8, 5556.6
65, 1927.5, 384.3, 4325.8, 4897.9, 6345.9
70, 2027.2, 437.5, 4556.7, 5028.8, 6547.6
75, 2192.4, 501.8, 4794.6, 5269.5, 6713.4
80, 2376.2, 596.8, 4943.1, 5488.3, 6993.9
85, 2047.4, 690.7, 5239.7, 5378.0, 6906.6
90, 2069.5, 775.1, 5406.7, 5633.2, 7098.5
95, 2253.5, 819.1, 5580.0, 5785.8, 7059.8
100, 2174.4, 929.3, 5639.5, 6562.2, 7392.6
