Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel
5, 142.4, 73.6, 797.4, 548.4
10, 226.7, 71.9, 1028.8, 847.0
15, 328.4, 100.1, 1349.0, 1197.2
20, 403.3, 131.2, 1546.9, 1427.2
25, 554.6, 157.6, 2002.1, 1717.6
30, 650.0, 181.2, 2223.6, 1914.0
35, 745.1, 203.3, 2348.4, 2072.1
40, 957.9, 211.4, 2545.7, 2322.8
45, 1276.9, 207.6, 2712.5, 2539.3
50, 345.5, 218.5, 57.9, 37.5
55, 282.6, 253.5, 60.8, 48.3
60, 657.7, 281.1, 65.4, 50.0
65, 774.9, 339.0, 79.8, 61.1
70, 1836.0, 429.8, 3745.5, 3714.5
75, 1836.1, 524.6, 4347.8, 4072.1
80, 1145.5, 589.7, 87.6, 62.6
85, 579.7, 673.4, 90.6, 73.4
90, 1686.1, 804.8, 4917.5, 4730.3
95, 701.4, 821.9, 104.6, 87.6
100, 540.5, 868.8, 131.3, 90.6
